Instante,Usina,Energia Ativa kWh,Energia Ativa Ponta kWh,Energia Ativa Fora Ponta kWh,Demanda Ativa kW,Demanda Ativa Ponta kW,Demanda Ativa Fora Ponta kW
2021-09-01 00:00:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 00:15:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 00:30:00,X,-1.05,0.0,-1.05,-4.2,0.0,-4.2
2021-09-01 00:45:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 01:00:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 01:15:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 01:30:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 01:45:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 02:00:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 02:15:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 02:30:00,X,-1.05,0.0,-1.05,-4.2,0.0,-4.2
2021-09-01 02:45:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 03:00:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 03:15:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 03:30:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 03:45:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 04:00:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 04:15:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 04:30:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 04:45:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 05:00:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 05:15:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 05:30:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 05:45:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 06:00:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 06:15:00,X,1.05,0.0,1.05,4.2,0.0,4.2
2021-09-01 06:30:00,X,18.27,0.0,18.27,73.08,0.0,73.08
2021-09-01 06:45:00,X,63.63,0.0,63.63,254.52,0.0,254.52
2021-09-01 07:00:00,X,123.48,0.0,123.48,493.92,0.0,493.92
2021-09-01 07:15:00,X,185.01,0.0,185.01,740.04,0.0,740.04
2021-09-01 07:30:00,X,241.71,0.0,241.71,966.84,0.0,966.84
2021-09-01 07:45:00,X,231.0,0.0,231.0,924.0,0.0,924.0
2021-09-01 08:00:00,X,258.72,0.0,258.72,1034.88,0.0,1034.88
2021-09-01 08:15:00,X,260.82,0.0,260.82,1043.28,0.0,1043.28
2021-09-01 08:30:00,X,260.82,0.0,260.82,1043.28,0.0,1043.28
2021-09-01 08:45:00,X,246.33,0.0,246.33,985.32,0.0,985.32
2021-09-01 09:00:00,X,249.9,0.0,249.9,999.6,0.0,999.6
2021-09-01 09:15:00,X,218.4,0.0,218.4,873.6,0.0,873.6
2021-09-01 09:30:00,X,243.81,0.0,243.81,975.24,0.0,975.24
2021-09-01 09:45:00,X,222.6,0.0,222.6,890.4,0.0,890.4
2021-09-01 10:00:00,X,198.87,0.0,198.87,795.48,0.0,795.48
2021-09-01 10:15:00,X,196.35,0.0,196.35,785.4,0.0,785.4
2021-09-01 10:30:00,X,249.27,0.0,249.27,997.08,0.0,997.08
2021-09-01 10:45:00,X,250.95,0.0,250.95,1003.8,0.0,1003.8
2021-09-01 11:00:00,X,258.51,0.0,258.51,1034.04,0.0,1034.04
2021-09-01 11:15:00,X,234.99,0.0,234.99,939.96,0.0,939.96
2021-09-01 11:30:00,X,195.09,0.0,195.09,780.36,0.0,780.36
2021-09-01 11:45:00,X,194.67,0.0,194.67,778.68,0.0,778.68
2021-09-01 12:00:00,X,221.76,0.0,221.76,887.04,0.0,887.04
2021-09-01 12:15:00,X,222.18,0.0,222.18,888.72,0.0,888.72
2021-09-01 12:30:00,X,232.05,0.0,232.05,928.2,0.0,928.2
2021-09-01 12:45:00,X,224.07,0.0,224.07,896.28,0.0,896.28
2021-09-01 13:00:00,X,195.3,0.0,195.3,781.2,0.0,781.2
2021-09-01 13:15:00,X,133.35,0.0,133.35,533.4,0.0,533.4
2021-09-01 13:30:00,X,238.56,0.0,238.56,954.24,0.0,954.24
2021-09-01 13:45:00,X,150.36,0.0,150.36,601.44,0.0,601.44
2021-09-01 14:00:00,X,241.29,0.0,241.29,965.16,0.0,965.16
2021-09-01 14:15:00,X,260.4,0.0,260.4,1041.6,0.0,1041.6
2021-09-01 14:30:00,X,260.82,0.0,260.82,1043.28,0.0,1043.28
2021-09-01 14:45:00,X,195.93,0.0,195.93,783.72,0.0,783.72
2021-09-01 15:00:00,X,221.97,0.0,221.97,887.88,0.0,887.88
2021-09-01 15:15:00,X,224.28,0.0,224.28,897.12,0.0,897.12
2021-09-01 15:30:00,X,244.44,0.0,244.44,977.76,0.0,977.76
2021-09-01 15:45:00,X,170.94,0.0,170.94,683.76,0.0,683.76
2021-09-01 16:00:00,X,260.61,0.0,260.61,1042.44,0.0,1042.44
2021-09-01 16:15:00,X,162.12,0.0,162.12,648.48,0.0,648.48
2021-09-01 16:30:00,X,248.64,0.0,248.64,994.56,0.0,994.56
2021-09-01 16:45:00,X,203.49,0.0,203.49,813.96,0.0,813.96
2021-09-01 17:00:00,X,164.22,0.0,164.22,656.88,0.0,656.88
2021-09-01 17:15:00,X,100.17,100.17,0.0,400.68,400.68,0.0
2021-09-01 17:30:00,X,4.83,4.83,0.0,19.32,19.32,0.0
2021-09-01 17:45:00,X,0.84,0.84,0.0,3.36,3.36,0.0
2021-09-01 18:00:00,X,-1.05,-1.05,0.0,-4.2,-4.2,0.0
2021-09-01 18:15:00,X,-1.26,-1.26,0.0,-5.04,-5.04,0.0
2021-09-01 18:30:00,X,-1.26,-1.26,0.0,-5.04,-5.04,0.0
2021-09-01 18:45:00,X,-1.26,-1.26,0.0,-5.04,-5.04,0.0
2021-09-01 19:00:00,X,-1.26,-1.26,0.0,-5.04,-5.04,0.0
2021-09-01 19:15:00,X,-1.47,-1.47,0.0,-5.88,-5.88,0.0
2021-09-01 19:30:00,X,-1.26,-1.26,0.0,-5.04,-5.04,0.0
2021-09-01 19:45:00,X,-1.26,-1.26,0.0,-5.04,-5.04,0.0
2021-09-01 20:00:00,X,-1.26,-1.26,0.0,-5.04,-5.04,0.0
2021-09-01 20:15:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 20:30:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 20:45:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 21:00:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 21:15:00,X,-1.05,0.0,-1.05,-4.2,0.0,-4.2
2021-09-01 21:30:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 21:45:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 22:00:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 22:15:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 22:30:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 22:45:00,X,-1.05,0.0,-1.05,-4.2,0.0,-4.2
2021-09-01 23:00:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 23:15:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 23:30:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-01 23:45:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 00:00:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 00:15:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 00:30:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 00:45:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 01:00:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 01:15:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 01:30:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 01:45:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 02:00:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 02:15:00,X,-1.05,0.0,-1.05,-4.2,0.0,-4.2
2021-09-02 02:30:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 02:45:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 03:00:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 03:15:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 03:30:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 03:45:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 04:00:00,X,-1.05,0.0,-1.05,-4.2,0.0,-4.2
2021-09-02 04:15:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 04:30:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 04:45:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 05:00:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 05:15:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 05:30:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 05:45:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 06:00:00,X,-1.05,0.0,-1.05,-4.2,0.0,-4.2
2021-09-02 06:15:00,X,1.47,0.0,1.47,5.88,0.0,5.88
2021-09-02 06:30:00,X,20.79,0.0,20.79,83.16,0.0,83.16
2021-09-02 06:45:00,X,72.24,0.0,72.24,288.96,0.0,288.96
2021-09-02 07:00:00,X,130.2,0.0,130.2,520.8,0.0,520.8
2021-09-02 07:15:00,X,190.26,0.0,190.26,761.04,0.0,761.04
2021-09-02 07:30:00,X,240.03,0.0,240.03,960.12,0.0,960.12
2021-09-02 07:45:00,X,254.31,0.0,254.31,1017.24,0.0,1017.24
2021-09-02 08:00:00,X,258.09,0.0,258.09,1032.36,0.0,1032.36
2021-09-02 08:15:00,X,258.3,0.0,258.3,1033.2,0.0,1033.2
2021-09-02 08:30:00,X,259.14,0.0,259.14,1036.56,0.0,1036.56
2021-09-02 08:45:00,X,259.77,0.0,259.77,1039.08,0.0,1039.08
2021-09-02 09:00:00,X,259.98,0.0,259.98,1039.92,0.0,1039.92
2021-09-02 09:15:00,X,260.19,0.0,260.19,1040.76,0.0,1040.76
2021-09-02 09:30:00,X,251.58,0.0,251.58,1006.32,0.0,1006.32
2021-09-02 09:45:00,X,253.47,0.0,253.47,1013.88,0.0,1013.88
2021-09-02 10:00:00,X,260.61,0.0,260.61,1042.44,0.0,1042.44
2021-09-02 10:15:00,X,260.61,0.0,260.61,1042.44,0.0,1042.44
2021-09-02 10:30:00,X,260.19,0.0,260.19,1040.76,0.0,1040.76
2021-09-02 10:45:00,X,254.73,0.0,254.73,1018.92,0.0,1018.92
2021-09-02 11:00:00,X,220.71,0.0,220.71,882.84,0.0,882.84
2021-09-02 11:15:00,X,198.87,0.0,198.87,795.48,0.0,795.48
2021-09-02 11:30:00,X,209.58,0.0,209.58,838.32,0.0,838.32
2021-09-02 11:45:00,X,205.8,0.0,205.8,823.2,0.0,823.2
2021-09-02 12:00:00,X,115.5,0.0,115.5,462.0,0.0,462.0
2021-09-02 12:15:00,X,145.11,0.0,145.11,580.44,0.0,580.44
2021-09-02 12:30:00,X,148.68,0.0,148.68,594.72,0.0,594.72
2021-09-02 12:45:00,X,130.2,0.0,130.2,520.8,0.0,520.8
2021-09-02 13:00:00,X,120.75,0.0,120.75,483.0,0.0,483.0
2021-09-02 13:15:00,X,126.42,0.0,126.42,505.68,0.0,505.68
2021-09-02 13:30:00,X,108.99,0.0,108.99,435.96,0.0,435.96
2021-09-02 13:45:00,X,107.1,0.0,107.1,428.4,0.0,428.4
2021-09-02 14:00:00,X,132.93,0.0,132.93,531.72,0.0,531.72
2021-09-02 14:15:00,X,232.68,0.0,232.68,930.72,0.0,930.72
2021-09-02 14:30:00,X,211.68,0.0,211.68,846.72,0.0,846.72
2021-09-02 14:45:00,X,242.34,0.0,242.34,969.36,0.0,969.36
2021-09-02 15:00:00,X,260.4,0.0,260.4,1041.6,0.0,1041.6
2021-09-02 15:15:00,X,126.84,0.0,126.84,507.36,0.0,507.36
2021-09-02 15:30:00,X,260.4,0.0,260.4,1041.6,0.0,1041.6
2021-09-02 15:45:00,X,258.93,0.0,258.93,1035.72,0.0,1035.72
2021-09-02 16:00:00,X,258.09,0.0,258.09,1032.36,0.0,1032.36
2021-09-02 16:15:00,X,256.2,0.0,256.2,1024.8,0.0,1024.8
2021-09-02 16:30:00,X,242.13,0.0,242.13,968.52,0.0,968.52
2021-09-02 16:45:00,X,221.97,0.0,221.97,887.88,0.0,887.88
2021-09-02 17:00:00,X,165.48,0.0,165.48,661.92,0.0,661.92
2021-09-02 17:15:00,X,83.16,83.16,0.0,332.64,332.64,0.0
2021-09-02 17:30:00,X,22.26,22.26,0.0,89.04,89.04,0.0
2021-09-02 17:45:00,X,2.31,2.31,0.0,9.24,9.24,0.0
2021-09-02 18:00:00,X,-0.84,-0.84,0.0,-3.36,-3.36,0.0
2021-09-02 18:15:00,X,-1.26,-1.26,0.0,-5.04,-5.04,0.0
2021-09-02 18:30:00,X,-1.26,-1.26,0.0,-5.04,-5.04,0.0
2021-09-02 18:45:00,X,-1.26,-1.26,0.0,-5.04,-5.04,0.0
2021-09-02 19:00:00,X,-1.26,-1.26,0.0,-5.04,-5.04,0.0
2021-09-02 19:15:00,X,-1.26,-1.26,0.0,-5.04,-5.04,0.0
2021-09-02 19:30:00,X,-1.47,-1.47,0.0,-5.88,-5.88,0.0
2021-09-02 19:45:00,X,-1.26,-1.26,0.0,-5.04,-5.04,0.0
2021-09-02 20:00:00,X,-1.26,-1.26,0.0,-5.04,-5.04,0.0
2021-09-02 20:15:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 20:30:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 20:45:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 21:00:00,X,-1.05,0.0,-1.05,-4.2,0.0,-4.2
2021-09-02 21:15:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 21:30:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 21:45:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 22:00:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 22:15:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 22:30:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 22:45:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 23:00:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 23:15:00,X,-1.05,0.0,-1.05,-4.2,0.0,-4.2
2021-09-02 23:30:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-02 23:45:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-03 00:00:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-03 00:15:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-03 00:30:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-03 00:45:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-03 01:00:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-03 01:15:00,X,-1.05,0.0,-1.05,-4.2,0.0,-4.2
2021-09-03 01:30:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-03 01:45:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-03 02:00:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-03 02:15:00,X,-1.05,0.0,-1.05,-4.2,0.0,-4.2
2021-09-03 02:30:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-03 02:45:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-03 03:00:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-03 03:15:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-03 03:30:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-03 03:45:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
2021-09-03 04:00:00,X,-1.26,0.0,-1.26,-5.04,0.0,-5.04
